Grupo,date,Hora_UTC,home_team,away_team,city,country,temp_mean,precip_sum,wind_max,climate_stress,climate_risk,home_win_prob,draw_prob,away_win_prob,expected_total_goals
F,2026-06-25,18:00 UTC-5,Tunisia,Netherlands,Kansas City,United States,27.599999999999998,15.566666666666668,22.46666666666667,0.5829629629629629,alto,0.062066057590418965,0.3249333333333333,0.6130006090762478,2.23362962962963
F,2026-06-20,22:00 UTC-6,Tunisia,Japan,Monterrey,Mexico,27.366666666666664,15.366666666666667,20.683333333333334,0.5534259259259259,alto,0.12635024208214424,0.31961666666666666,0.5540330912511892,2.2572592592592593
R16,2026-07-04,12:00 UTC-5,W73,W75,Houston,United States,28.5,7.083333333333333,17.5,0.5364583333333333,alto,0.34171875,0.31656249999999997,0.34171875,2.2708333333333335
SF,2026-07-14,14:00 UTC-5,W97,W98,Dallas,United States,30.116666666666664,2.783333333333333,24.45,0.5142361111111109,alto,0.34371875,0.31256249999999997,0.34371875,2.2886111111111114
R32,2026-07-03,13:00 UTC-5,2D,2G,Dallas,United States,28.96666666666667,5.466666666666666,19.150000000000002,0.5080555555555556,alto,0.344275,0.31145,0.344275,2.293555555555556
H,2026-06-21,18:00 UTC-4,Uruguay,Cape Verde,Miami,United States,27.266666666666666,7.433333333333334,18.266666666666666,0.5011574074074073,alto,0.6401942700902176,0.3102083333333333,0.04959739657644915,2.299074074074074
R16,2026-07-06,14:00 UTC-5,W83,W84,Dallas,United States,28.7,5.55,18.400000000000002,0.49173611111111104,alto,0.34574375,0.30851249999999997,0.34574375,2.306611111111111
F,2026-06-20,12:00 UTC-5,Netherlands,Sweden,Houston,United States,28.666666666666668,4.316666666666667,20.733333333333334,0.4700231481481483,alto,0.6143702873902545,0.3046041666666667,0.08102554594307888,2.3239814814814816
R16,2026-07-07,12:00 UTC-4,W86,W88,Atlanta,United States,26.05,10.133333333333333,14.883333333333333,0.46875,alto,0.34781249999999997,0.304375,0.34781249999999997,2.325
